"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"19951","2023-09-10 18:19:19.488476","14.0.0.120","37148","10.0.0.112","8080","HTTP","405","GET / HTTP/1.1 "
"19966","2023-09-10 18:19:19.499302","10.0.0.112","8080","14.0.0.120","37148","HTTP","990","HTTP/1.1 200 OK  (text/html)"
"19969","2023-09-10 18:19:19.564053","14.0.0.120","37148","10.0.0.112","8080","HTTP","352","GET /tomcat.css HTTP/1.1 "
"19974","2023-09-10 18:19:19.565830","10.0.0.112","8080","14.0.0.120","37148","HTTP","82","HTTP/1.1 200 OK  (text/css)"
"19976","2023-09-10 18:19:19.566320","14.0.0.120","37148","10.0.0.112","8080","HTTP","359","GET /tomcat.png HTTP/1.1 "
"19983","2023-09-10 18:19:19.568321","10.0.0.112","8080","14.0.0.120","37148","HTTP","1053","HTTP/1.1 200 OK  (PNG)"
"19985","2023-09-10 18:19:19.585294","14.0.0.120","37148","10.0.0.112","8080","HTTP","369","GET /bg-nav.png HTTP/1.1 "
"19986","2023-09-10 18:19:19.585581","14.0.0.120","37162","10.0.0.112","8080","HTTP","376","GET /asf-logo-wide.svg HTTP/1.1 "
"19995","2023-09-10 18:19:19.586785","14.0.0.120","37178","10.0.0.112","8080","HTTP","371","GET /bg-upper.png HTTP/1.1 "
"19998","2023-09-10 18:19:19.586891","14.0.0.120","37190","10.0.0.112","8080","HTTP","372","GET /bg-button.png HTTP/1.1 "
"20002","2023-09-10 18:19:19.587082","14.0.0.120","37204","10.0.0.112","8080","HTTP","372","GET /bg-middle.png HTTP/1.1 "
"20003","2023-09-10 18:19:19.587083","10.0.0.112","8080","14.0.0.120","37148","HTTP","247","HTTP/1.1 200 OK  (PNG)"
"20039","2023-09-10 18:19:19.590586","10.0.0.112","8080","14.0.0.120","37162","HTTP/XML","535","HTTP/1.1 200 OK "
"20043","2023-09-10 18:19:19.599387","10.0.0.112","8080","14.0.0.120","37178","HTTP","501","HTTP/1.1 200 OK  (PNG)"
"20044","2023-09-10 18:19:19.599389","10.0.0.112","8080","14.0.0.120","37190","HTTP","1005","HTTP/1.1 200 OK  (PNG)"
"20049","2023-09-10 18:19:19.603803","10.0.0.112","8080","14.0.0.120","37204","HTTP","764","HTTP/1.1 200 OK  (PNG)"
"20052","2023-09-10 18:19:19.605522","14.0.0.120","37162","10.0.0.112","8080","HTTP","360","GET /favicon.ico HTTP/1.1 "
"20074","2023-09-10 18:19:19.608335","10.0.0.112","8080","14.0.0.120","37162","HTTP","1033","HTTP/1.1 200 OK  (image/x-icon)"
"20089","2023-09-10 18:19:33.396142","14.0.0.120","37644","10.0.0.112","8080","HTTP","156","GET / HTTP/1.1 "
"20103","2023-09-10 18:19:33.401328","10.0.0.112","8080","14.0.0.120","37644","HTTP","990","HTTP/1.1 200 OK  (text/html)"
"20106","2023-09-10 18:19:33.401808","14.0.0.120","37644","10.0.0.112","8080","HTTP","192","GET /0a2cd816-3c71-4411-b1a1-0287040f02d1 HTTP/1.1 "
"20107","2023-09-10 18:19:33.403449","10.0.0.112","8080","14.0.0.120","37644","HTTP","1262","HTTP/1.1 404 Not Found  (text/html)"
"20108","2023-09-10 18:19:33.404161","14.0.0.120","37644","10.0.0.112","8080","HTTP","185","GET /examples/servlet/SnoopServlet HTTP/1.1 "
"20125","2023-09-10 18:19:33.405262","14.0.0.120","37662","10.0.0.112","8080","HTTP","182","GET /examples/jsp/snp/snoop.jsp HTTP/1.1 "
"20126","2023-09-10 18:19:33.405263","14.0.0.120","37674","10.0.0.112","8080","HTTP","161","GET /admin HTTP/1.1 "
"20138","2023-09-10 18:19:33.405880","14.0.0.120","37712","10.0.0.112","8080","HTTP","164","GET /examples HTTP/1.1 "
"20140","2023-09-10 18:19:33.405957","14.0.0.120","37684","10.0.0.112","8080","HTTP","179","GET /examples/jsp/index.html HTTP/1.1 "
"20144","2023-09-10 18:19:33.406108","14.0.0.120","37718","10.0.0.112","8080","HTTP","187","GET /examples/servlet/TroubleShooter HTTP/1.1 "
"20145","2023-09-10 18:19:33.406184","14.0.0.120","37702","10.0.0.112","8080","HTTP","169","GET /admin-console HTTP/1.1 "
"20148","2023-09-10 18:19:33.406430","14.0.0.120","37660","10.0.0.112","8080","HTTP","179","GET /examples/jsp/source.jsp HTTP/1.1 "
"20149","2023-09-10 18:19:33.406435","14.0.0.120","37700","10.0.0.112","8080","HTTP","190","GET /examples/servlet/HelloWorldExample HTTP/1.1 "
"20152","2023-09-10 18:19:33.406632","14.0.0.120","37722","10.0.0.112","8080","HTTP","161","GET /docs/ HTTP/1.1 "
"20154","2023-09-10 18:19:33.408186","10.0.0.112","8080","14.0.0.120","37644","HTTP","1248","HTTP/1.1 404 Not Found  (text/html)"
"20155","2023-09-10 18:19:33.408526","14.0.0.120","37644","10.0.0.112","8080","HTTP","198","GET /examples/servlet/default/jsp/snp/snoop.jsp HTTP/1.1 "
"20156","2023-09-10 18:19:33.417508","10.0.0.112","8080","14.0.0.120","37712","HTTP","207","HTTP/1.1 302 Found  [Last Chunk]"
"20158","2023-09-10 18:19:33.418088","14.0.0.120","37712","10.0.0.112","8080","HTTP","195","GET /examples/servlet/default/jsp/source.jsp HTTP/1.1 "
"20159","2023-09-10 18:19:33.418942","10.0.0.112","8080","14.0.0.120","37718","HTTP","1252","HTTP/1.1 404 Not Found  (text/html)"
"20161","2023-09-10 18:19:33.419245","14.0.0.120","37718","10.0.0.112","8080","HTTP","218","GET /examples/servlet/org.apache.catalina.INVOKER.HelloWorldExample HTTP/1.1 "
"20162","2023-09-10 18:19:33.419542","10.0.0.112","8080","14.0.0.120","37644","HTTP","1274","HTTP/1.1 404 Not Found  (text/html)"
"20163","2023-09-10 18:19:33.419824","14.0.0.120","37644","10.0.0.112","8080","HTTP","213","GET /examples/servlet/org.apache.catalina.INVOKER.SnoopServlet HTTP/1.1 "
"20164","2023-09-10 18:19:33.420596","10.0.0.112","8080","14.0.0.120","37702","HTTP","1215","HTTP/1.1 404 Not Found  (text/html)"
"20166","2023-09-10 18:19:33.420745","10.0.0.112","8080","14.0.0.120","37674","HTTP","1199","HTTP/1.1 404 Not Found  (text/html)"
"20168","2023-09-10 18:19:33.420860","14.0.0.120","37702","10.0.0.112","8080","HTTP","215","GET /examples/servlet/org.apache.catalina.INVOKER.TroubleShooter HTTP/1.1 "
"20169","2023-09-10 18:19:33.420959","14.0.0.120","37674","10.0.0.112","8080","HTTP","234","GET /examples/servlet/org.apache.catalina.servlets.DefaultServlet/jsp/snp/snoop.jsp HTTP/1.1 "
"20195","2023-09-10 18:19:33.422890","10.0.0.112","8080","14.0.0.120","37722","HTTP","243","HTTP/1.1 200 OK  (text/html)"
"20197","2023-09-10 18:19:33.423232","14.0.0.120","37722","10.0.0.112","8080","HTTP","231","GET /examples/servlet/org.apache.catalina.servlets.DefaultServlet/jsp/source.jsp HTTP/1.1 "
"20198","2023-09-10 18:19:33.424409","10.0.0.112","8080","14.0.0.120","37644","HTTP","1304","HTTP/1.1 404 Not Found  (text/html)"
"20199","2023-09-10 18:19:33.424800","14.0.0.120","37644","10.0.0.112","8080","HTTP","233","GET /examples/servlet/org.apache.catalina.servlets.WebdavServlet/jsp/snp/snoop.jsp HTTP/1.1 "
"20200","2023-09-10 18:19:33.425477","10.0.0.112","8080","14.0.0.120","37644","HTTP","1344","HTTP/1.1 404 Not Found  (text/html)"
